"gene","p_value"
"ENSG00000114115",0.019904899889212
"ENSG00000196498",0.019938963544802
"ENSG00000128567",0.020000236400322
"ENSG00000176928",0.0200161058208722
"ENSG00000148734",0.0200465496712785
"ENSG00000151468",0.0200993120544824
"ENSG00000240583",0.0202543736053121
"ENSG00000146072",0.0202856861639785
"ENSG00000171105",0.0204455512604883
"ENSG00000129538",0.0204553515502191
"ENSG00000135916",0.0204559546297572
"ENSG00000183943",0.0205543326663884
"ENSG00000100139",0.0205701784529698
"ENSG00000170779",0.0206035419426534
"ENSG00000170271",0.0206617600040823
"ENSG00000078401",0.0206909746350873
"ENSG00000149292",0.0207679351998072
"ENSG00000153132",0.0207757738969426
"ENSG00000115461",0.0207850201741556
"ENSG00000146555",0.020819873152926
"ENSG00000142530",0.0209128053862519
"ENSG00000160932",0.0209217249755168
"ENSG00000173402",0.0210893249843144
"ENSG00000171806",0.0211634362244756
"ENSG00000119938",0.0211970267037393
"ENSG00000107518",0.0212020648909976
"ENSG00000137038",0.0212571523749184
"ENSG00000145103",0.0214375801426855
"ENSG00000163430",0.0215413407572879
"ENSG00000269313",0.0215957116104123
"ENSG00000164904",0.0216830888246775
"ENSG00000144730",0.0217171188592473
"ENSG00000164061",0.0219054344537786
"ENSG00000197077",0.0220806492215817
"ENSG00000153107",0.0221291589414623
"ENSG00000185088",0.0221372285089533
"ENSG00000142677",0.0222336539233653
"ENSG00000110713",0.022255582811172
"ENSG00000043143",0.0224391561858091
"ENSG00000102349",0.0225448144018606
"ENSG00000151148",0.0225788615750971
