"intercept","min_phred","min_length","effect_size_sd","aligner_salmon","trim_poly_g_X1","trim_poly_x_X1","norm_method_none","norm_method_RLE","norm_method_TMM","norm_method_TMMwsp","norm_method_upperquartile","min_phred_x_min_length","min_phred_x_aligner_salmon","min_phred_x_trim_poly_g_X1","min_phred_x_trim_poly_x_X1","min_phred_x_norm_method_none","min_phred_x_norm_method_RLE","min_phred_x_norm_method_TMM","min_phred_x_norm_method_TMMwsp","min_phred_x_norm_method_upperquartile","min_length_x_aligner_salmon","min_length_x_trim_poly_g_X1","min_length_x_trim_poly_x_X1","min_length_x_norm_method_none","min_length_x_norm_method_RLE","min_length_x_norm_method_TMM","min_length_x_norm_method_TMMwsp","min_length_x_norm_method_upperquartile","aligner_salmon_x_trim_poly_g_X1","aligner_salmon_x_trim_poly_x_X1","aligner_salmon_x_norm_method_none","aligner_salmon_x_norm_method_RLE","aligner_salmon_x_norm_method_TMM","aligner_salmon_x_norm_method_TMMwsp","aligner_salmon_x_norm_method_upperquartile","trim_poly_g_X1_x_trim_poly_x_X1","trim_poly_g_X1_x_norm_method_none","trim_poly_g_X1_x_norm_method_RLE","trim_poly_g_X1_x_norm_method_TMM","trim_poly_g_X1_x_norm_method_TMMwsp","trim_poly_g_X1_x_norm_method_upperquartile","trim_poly_x_X1_x_norm_method_none","trim_poly_x_X1_x_norm_method_RLE","trim_poly_x_X1_x_norm_method_TMM","trim_poly_x_X1_x_norm_method_TMMwsp","trim_poly_x_X1_x_norm_method_upperquartile"
1,23,49,0.976325199880685,0,1,0,0,0,0,1,0,1127,0,23,0,0,0,0,23,0,0,49,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,25,30,0.988667217440049,1,0,0,0,0,0,1,0,750,25,0,0,0,0,0,25,0,30,0,0,0,0,0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,25,48,0.990428312212348,1,0,1,0,0,0,1,0,1200,25,0,25,0,0,0,25,0,48,0,48,0,0,0,48,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,24,33,0.971624565473646,0,0,1,0,0,0,0,1,792,0,0,24,0,0,0,0,24,0,0,33,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,26,35,0.974248755758187,0,1,0,0,1,0,0,0,910,0,26,0,0,26,0,0,0,0,35,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,26,41,0.991149695043744,1,0,1,1,0,0,0,0,1066,26,0,26,26,0,0,0,0,41,0,41,41,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,22,38,0.974723200287548,0,0,0,0,0,0,1,0,836,0,0,0,0,0,0,22,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,34,0.9741413617712,0,0,0,0,1,0,0,0,748,0,0,0,0,22,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,29,36,0.978077592914271,0,1,1,1,0,0,0,0,1044,0,29,29,29,0,0,0,0,0,36,36,36,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,27,40,0.99154069354474,1,0,1,1,0,0,0,0,1080,27,0,27,27,0,0,0,0,40,0,40,40,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,26,32,0.971576334121791,0,0,1,0,0,0,0,1,832,0,0,26,0,0,0,0,26,0,0,32,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,26,37,0.974774036720367,0,0,0,0,0,0,1,0,962,0,0,0,0,0,0,26,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,46,0.993180686388952,1,0,0,1,0,0,0,0,966,21,0,0,21,0,0,0,0,46,0,0,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26,37,0.988307176729615,1,1,1,0,1,0,0,0,962,26,26,26,0,26,0,0,0,37,37,37,0,37,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1,24,34,0.988646821186131,1,1,0,0,0,1,0,0,816,24,24,0,0,0,24,0,0,34,34,0,0,0,34,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,24,49,0.993537173798141,1,0,1,1,0,0,0,0,1176,24,0,24,24,0,0,0,0,49,0,49,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,21,49,0.989113316401709,1,1,0,0,0,1,0,0,1029,21,21,0,0,0,21,0,0,49,49,0,0,0,49,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,30,47,0.991893658515549,1,0,1,1,0,0,0,0,1410,30,0,30,30,0,0,0,0,47,0,47,47,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,26,34,0.992202571285722,1,1,1,1,0,0,0,0,884,26,26,26,26,0,0,0,0,34,34,34,34,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
